iter	RMSE
0	1937.666698
1	1850.637209
2	1774.229864
3	1696.749506
4	1640.910431
5	1592.326874
6	1561.012073
7	1522.065592
8	1484.943038
9	1452.601127
10	1429.099102
11	1402.608705
12	1376.113925
13	1358.27135
14	1339.343608
15	1323.062525
16	1314.490374
17	1299.03015
18	1283.72361
19	1272.977943
20	1245.924955
21	1235.678446
22	1224.020311
23	1213.648312
24	1195.08567
25	1181.625812
26	1170.469402
27	1160.640455
28	1152.490721
29	1148.091031
30	1137.683315
31	1131.8147
32	1120.28644
33	1113.658873
34	1107.616944
35	1103.635328
36	1098.056805
37	1092.273032
38	1089.235066
39	1082.534854
40	1076.419578
41	1066.676928
42	1064.917595
43	1057.881581
44	1052.077405
45	1048.693518
46	1045.968757
47	1041.25221
48	1038.744415
49	1031.256045
